date,home_team_id,away_team_id,home_team_name,away_team_name,home_score,away_score
2025-08-19T19:00:00Z,86,79,Real Madrid CF,CA Osasuna,1,0
2025-08-24T19:30:00Z,1048,86,Real Oviedo,Real Madrid CF,0,3
2025-08-30T19:30:00Z,86,89,Real Madrid CF,RCD Mallorca,2,1
2025-09-13T14:15:00Z,92,86,Real Sociedad de Fútbol,Real Madrid CF,1,2
2025-09-16T19:00:00Z,86,516,Real Madrid CF,Olympique de Marseille,2,1
2025-09-20T14:15:00Z,86,80,Real Madrid CF,RCD Espanyol de Barcelona,2,0
2025-09-23T19:30:00Z,88,86,Levante UD,Real Madrid CF,1,4
2025-09-27T14:15:00Z,78,86,Club Atlético de Madrid,Real Madrid CF,5,2
2025-09-30T16:45:00Z,10601,86,FK Kairat,Real Madrid CF,0,5
2025-10-04T19:00:00Z,86,94,Real Madrid CF,Villarreal CF,3,1
2025-10-19T19:00:00Z,82,86,Getafe CF,Real Madrid CF,0,1
2025-10-22T19:00:00Z,86,109,Real Madrid CF,Juventus FC,1,0
2025-10-26T15:15:00Z,86,81,Real Madrid CF,FC Barcelona,2,1
2025-11-01T20:00:00Z,86,95,Real Madrid CF,Valencia CF,4,0
2025-11-04T20:00:00Z,64,86,Liverpool FC,Real Madrid CF,1,0
2025-11-09T15:15:00Z,87,86,Rayo Vallecano de Madrid,Real Madrid CF,0,0
2025-11-23T20:00:00Z,285,86,Elche CF,Real Madrid CF,2,2
2025-11-26T20:00:00Z,654,86,PAE Olympiakos SFP,Real Madrid CF,3,4
2025-11-30T20:00:00Z,298,86,Girona FC,Real Madrid CF,1,1
2025-12-03T18:00:00Z,77,86,Athletic Club,Real Madrid CF,0,3
2025-12-07T20:00:00Z,86,558,Real Madrid CF,RC Celta de Vigo,0,2
2025-12-10T20:00:00Z,86,65,Real Madrid CF,Manchester City FC,1,2
2025-12-14T20:00:00Z,263,86,Deportivo Alavés,Real Madrid CF,1,2
2025-12-20T20:00:00Z,86,559,Real Madrid CF,Sevilla FC,2,0
